category,phrase,title,url,publish_date,media_name,media_url,coded_narrative,ageism_present,voice_representation,notes
empowering,elder wisdom,REI Path Ahead Ventures celebrates graduation of 18 outdoor industry founders of color from 2023 Embark program,https://www.prnewswire.com/news-releases/rei-path-ahead-ventures-celebrates-graduation-of-18-outdoor-industry-founders-of-color-from-2023-embark-program-301796364.html,2023-04-13,prnewswire.com,prnewswire.com,,,,
empowering,elder wisdom,"Cast off 'blanket of shame and lies,' artist urges",https://www.barrietoday.com/local-entertainment/cast-off-blanket-of-shame-and-lies-artist-urges-6405311,2023-01-22,barrietoday.com,barrietoday.com,,,,
empowering,elder wisdom,PHOTOS: ‘This beautiful work’: Sts’ailes First Nation welcomes 29 baskets home,https://www.burnslakelakesdistrictnews.com/community/photos-this-beautiful-work-stsailes-first-nation-welcomes-29-baskets-home/,2023-03-07,burnslakelakesdistrictnews.com,burnslakelakesdistrictnews.com,,,,
empowering,elder wisdom,Gates of Vienna News Feed 3/29/2023,https://gatesofvienna.net/2023/03/gates-of-vienna-news-feed-3-29-2023/,2023-03-29,gatesofvienna.net,gatesofvienna.net,,,,
empowering,productive aging,16 Best body lotions for aging skin,https://www.sltrib.com/sponsored/2023/02/27/16-best-body-lotions-aging-skin/,2023-02-27,sltrib.com,sltrib.com,,,,
empowering,elder wisdom,PHOTOS: ‘This beautiful work’: Sts’ailes First Nation welcomes 29 baskets home,https://www.sookenewsmirror.com/community/photos-this-beautiful-work-stsailes-first-nation-welcomes-29-baskets-home/,2023-03-07,sookenewsmirror.com,sookenewsmirror.com,,,,
empowering,elder wisdom,Complete text: President Biden’s speech at Monterey Park on gun violence,https://www.lafocusnews.com/complete-text-president-bidens-speech-at-monterey-park-on-gun-violence/?utm_source=rss&utm_medium=rss&utm_campaign=complete-text-president-bidens-speech-at-monterey-park-on-gun-violence,2023-03-15,lafocusnews.com,lafocusnews.com,,,,
empowering,productive aging,Lowe's Companies (LOW) Q3 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/11/21/lowes-companies-low-q3-2023-earnings-call-transcri/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,2023-11-21,fool.com,fool.com,,,,
empowering,elder wisdom,Manila Cathedral’s ‘Washing of the Feet’ set,https://tribune.net.ph/2023/04/05/manila-cathedrals-washing-of-the-feet-set/?utm_source=rss&utm_medium=rss&utm_campaign=manila-cathedrals-washing-of-the-feet-set,2023-04-05,tribune.net.ph,tribune.net.ph,,,,
empowering,elder wisdom,"Talat Aziz on working with Sharmila Tagore: 'I also had a connection with her husband Tiger Pataudi'-Entertainment News , Firstpost",https://www.firstpost.com/entertainment/exclusive-talat-aziz-on-working-with-sharmila-tagore-i-also-had-a-connection-with-her-husband-tiger-pataudi-12240862.html,2023-03-04,firstpost.com,firstpost.com,,,,
empowering,elder wisdom,Advice from a perfectionist,https://www.deseret.com/2023/3/10/23629499/advice-from-perfectionist-angela-duckworth-grit,2023-03-10,deseret.com,deseret.com,,,,
empowering,productive aging,Buccaneers.com 2023 Mock Draft 4.0,http://www.arizonaherald.com/news/273604367/buccaneerscom-2023-mock-draft-40,2023-03-08,arizonaherald.com,arizonaherald.com,,,,
empowering,elder wisdom,Society as a broad church: How we destroyed the elders and failed our young,https://theaimn.com/society-as-a-broad-church-how-we-destroyed-the-elders-and-failed-our-young/?utm_source=rss&utm_medium=rss&utm_campaign=society-as-a-broad-church-how-we-destroyed-the-elders-and-failed-our-young,2023-02-13,theaimn.com,theaimn.com,,,,
empowering,elder wisdom,"University invites speaker who has attacked Utah LGBTQ. That sounds familiar, George Pyle writes",https://www.sltrib.com/opinion/commentary/2023/03/29/university-invites-speaker-who-has/,2023-03-29,sltrib.com,sltrib.com,,,,
empowering,productive aging,"NFL Mock Draft 2023, 2-round edition: Anthony Richardson, Will Levis stock skyrockets before NFL Combine",https://www.sportingnews.com/au/nfl/news/nfl-mock-draft-2023-2-round-nfl-combine/s3sijusaz5fgapkls9itnftl,2023-02-27,sportingnews.com,sportingnews.com,,,,
empowering,elder wisdom,"I'm lucky to have led you, thanks for tolerating me, Buhari tell Nigerians",https://guardian.ng/news/im-lucky-to-have-led-you-thanks-for-tolerating-me-buhari-tell-nigerians/,2023-04-21,guardian.ng,guardian.ng,,,,
empowering,productive aging,5 charts that show how productivity levels vary by state,"http://thepampanews.com/premium/stories/5-charts-that-show-how-productivity-levels-vary-by-state,33726",2023-03-17,thepampanews.com,thepampanews.com,,,,
empowering,productive aging,$110 million in grants awarded to 86 water quality protection projects across state,https://www.wnypapers.com/news/article/current/2023/03/06/154472/110-million-in-grants-awarded-to-86-water-quality-protection-projects-across-state,2023-03-06,wnypapers.com,wnypapers.com,,,,
empowering,productive aging,"For individuals with dementia, early intervention is key",https://www.dailyherald.com/submitted/20230102/for-individuals-with-dementia-early-intervention-is-key,2023-01-02,dailyherald.com,dailyherald.com,,,,
empowering,elder wisdom,"Swanson: Kareem Abdul-Jabbar no longer No. 1, but he’s still making points",https://www.sgvtribune.com/2023/02/07/swanson-kareem-abdul-jabbar-no-longer-no-1-but-hes-still-making-points/,2023-02-07,sgvtribune.com,sgvtribune.com,,,,
