date,total_count,count,ratio,phrase,category,month
2023-05-22,478952,54,0.00011274616245469275,aging crisis,limiting,2023-05
2023-05-23,502427,65,0.0001293720281752374,aging crisis,limiting,2023-05
2023-05-24,515438,67,0.00012998653572301615,aging crisis,limiting,2023-05
2023-05-25,506377,286,0.0005647965843630339,aging crisis,limiting,2023-05
2023-05-26,476611,80,0.00016785177010182308,aging crisis,limiting,2023-05
2023-05-27,315199,12,3.8071186774069716e-05,aging crisis,limiting,2023-05
2023-05-28,311410,15,4.8168010018946085e-05,aging crisis,limiting,2023-05
2023-05-29,422001,42,9.952583050751064e-05,aging crisis,limiting,2023-05
2023-05-30,492310,73,0.00014828055493489874,aging crisis,limiting,2023-05
2023-05-31,511821,79,0.00015435083749982905,aging crisis,limiting,2023-05
2023-06-01,520029,65,0.00012499302923490806,aging crisis,limiting,2023-06
2023-06-02,471163,80,0.00016979261953931017,aging crisis,limiting,2023-06
2023-06-03,316228,21,6.640778172710829e-05,aging crisis,limiting,2023-06
2023-06-04,302435,28,9.258187709755816e-05,aging crisis,limiting,2023-06
2023-06-05,478406,63,0.00013168731161398477,aging crisis,limiting,2023-06
2023-06-06,497032,53,0.00010663297332968502,aging crisis,limiting,2023-06
2023-06-07,511926,47,9.181014443493786e-05,aging crisis,limiting,2023-06
2023-06-08,485205,65,0.00013396399460022053,aging crisis,limiting,2023-06
2023-06-09,469746,41,8.728121154836869e-05,aging crisis,limiting,2023-06
2023-06-10,309255,47,0.0001519781410163134,aging crisis,limiting,2023-06
2023-06-11,301437,28,9.28883979073571e-05,aging crisis,limiting,2023-06
2023-06-12,469490,56,0.00011927836588638736,aging crisis,limiting,2023-06
2023-06-13,507360,39,7.686849574266793e-05,aging crisis,limiting,2023-06
2023-06-14,513410,79,0.00015387312284528934,aging crisis,limiting,2023-06
2023-06-15,512254,82,0.00016007683688170322,aging crisis,limiting,2023-06
2023-06-16,479492,37,7.71649996246027e-05,aging crisis,limiting,2023-06
2023-06-17,313647,18,5.738935810002965e-05,aging crisis,limiting,2023-06
2023-06-18,297948,30,0.00010068871078174715,aging crisis,limiting,2023-06
2023-06-19,454954,51,0.00011209924519841566,aging crisis,limiting,2023-06
2023-06-20,501975,77,0.0001533940933313412,aging crisis,limiting,2023-06
2023-06-21,511651,54,0.00010554069082245514,aging crisis,limiting,2023-06
2023-06-22,500891,81,0.00016171182951979572,aging crisis,limiting,2023-06
2023-06-23,462693,32,6.91603287709129e-05,aging crisis,limiting,2023-06
2023-06-24,311142,29,9.320503178612981e-05,aging crisis,limiting,2023-06
2023-06-25,294103,89,0.00030261507023049747,aging crisis,limiting,2023-06
2023-06-26,466890,67,0.00014350275225427831,aging crisis,limiting,2023-06
2023-06-27,488208,139,0.00028471471176219973,aging crisis,limiting,2023-06
2023-06-28,487306,172,0.00035296097318727863,aging crisis,limiting,2023-06
2023-06-29,476127,88,0.00018482463712412865,aging crisis,limiting,2023-06
2023-06-30,457265,52,0.00011371961554022285,aging crisis,limiting,2023-06
2023-07-01,303381,60,0.00019777111948342184,aging crisis,limiting,2023-07
2023-07-02,284625,15,5.270092226613966e-05,aging crisis,limiting,2023-07
2023-07-03,445952,31,6.951420780711826e-05,aging crisis,limiting,2023-07
2023-07-04,455884,88,0.00019303156066016793,aging crisis,limiting,2023-07
2023-07-05,501180,103,0.00020551498463625842,aging crisis,limiting,2023-07
